yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average
2000,8,1,0,0,1,,1968,32,0,0.25
2007,23,49,10,3,15,,1982,25,0.1836734694,0.0588235294
2005,34,7,1,0,2,316000,1980,25,0,0
2005,27,20,0,2,8,2350000,1977,28,0.15,0.0666666667
2006,40,1,0,0,0,3800000,1977,29,1,0
2003,22,58,7,4,16,750000,1969,34,0.275862069,0.1111111111
2013,66,0,0,0,0,534500,1989,24,0,0
2003,18,3,0,0,2,5500000,1971,32,0,0
2007,25,42,8,4,14,3100000,1979,28,0.2380952381,0.2333333333
2006,48,12,1,0,7,,1980,26,0.0833333333,0.0666666667
2001,7,9,0,0,5,,1979,22,0.2222222222,0.2941176471
1999,68,0,0,0,0,670000,1969,30,0,0
1997,12,28,3,2,4,160000,1973,24,0.2857142857,0.2615384615
2003,19,35,1,3,13,,1978,25,0.2,0.1428571429
2011,95,320,44,15,63,2500000,1980,31,0.2375,0.2572706935
2003,5,1,0,0,1,300000,1971,32,0,0
2004,23,1,0,0,1,300000,1977,27,0,0.0714285714
1991,28,41,1,4,16,2100000,1960,31,0.0975609756,0.2068965517
2001,134,437,54,17,44,387500,1972,29,0.2768878719,0.20625
2014,5,1,0,0,1,501000,1990,24,0,0
2010,40,97,8,9,20,,1984,26,0.2164948454,0.2763819095
2007,34,74,16,8,20,,1979,28,0.2567567568,0.1754385965
2000,98,216,28,6,47,600000,1963,37,0.25,0.2795698925
1994,88,316,41,29,48,170000,1969,25,0.2151898734,0.2156862745
2004,52,5,0,0,3,900000,1967,37,0,0
1998,55,1,0,1,1,575000,1970,28,0,0
1996,7,17,5,1,6,,1974,22,0.3529411765,0.3448275862
2007,78,0,0,0,0,602000,1976,31,0,0
2007,150,557,61,29,70,5100000,1975,32,0.2531418312,0.2494117647
2002,5,0,0,0,0,,1975,27,0,0
1996,14,31,3,1,5,,1969,27,0.1935483871,0.2760736196
2010,69,0,0,0,0,2650000,1977,33,0,0
2014,44,0,0,0,0,,1987,27,0,0
2003,156,664,130,60,76,2200000,1977,26,0.2921686747,0.2788632327
1996,64,247,26,18,35,290000,1970,26,0.2631578947,0.238410596
2014,108,369,41,22,97,520250,1986,28,0.2628726287,0.2455830389
