yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average,,,,,
2014,9,10,1,0,3,?,1988,26,0.3,0.2142857143,,-0.0857142857,0.0857142857,,
2004,61,165,24,16,42,?,1977,27,0.2545454545,0.1962616822,,-0.0582837723,0.0582837723,,
2002,147,480,101,122,139,8000000,1970,32,0.3041666667,0.2664359862,,-0.0377306805,0.0377306805,,
2012,73,93,7,10,15,750000,1980,32,0.2688172043,0.2015503876,,-0.0672668167,0.0672668167,,
2012,66,162,15,13,37,8295910,1979,33,0.1913580247,0.2783505155,,0.0869924908,0.0869924908,,
1991,74,219,21,26,43,100000,1967,24,0.2602739726,0.2338028169,,-0.0264711557,0.0264711557,,
1998,51,188,29,34,42,850000,1962,36,0.2606382979,0.3169572108,,0.0563189129,0.0563189129,,
2002,141,465,68,90,101,8500000,1967,35,0.247311828,0.2423469388,,-0.0049648892,0.0049648892,,
2003,138,392,42,58,87,5000000,1967,36,0.2423469388,0.2434210526,,0.0010741139,0.0010741139,,
1992,136,483,49,32,38,360000,1967,25,0.2939958592,0.2553571429,,-0.0386387164,0.0386387164,,
2007,24,84,11,5,15,?,1983,24,0.3214285714,0.2965779468,,-0.0248506247,0.0248506247,,
1991,124,374,51,33,57,?,1958,33,0.256684492,0.2885375494,,0.0318530574,0.0318530574,,
2002,15,46,4,6,11,?,1979,23,0.2608695652,0.2083333333,,-0.0525362319,0.0525362319,,
2013,28,41,1,1,10,?,1988,25,0.2195121951,0.2321428571,,0.012630662,0.012630662,,
1993,21,31,1,0,15,109000,1967,26,0.0322580645,0.5,,0.4677419355,0.4677419355,,
1993,20,61,11,3,20,109000,1969,24,0.2459016393,0.2492753623,,0.003373723,0.003373723,,
1995,84,220,27,17,68,109000,1971,24,0.2136363636,0.2266666667,,0.013030303,0.013030303,,
1991,39,118,11,12,41,115000,1967,24,0.1525423729,0.2386363636,,0.0860939908,0.0860939908,,
